id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,data_jogo,num_apostas
1,Flamengo,Grêmio,dom.,16:00,1.25,5.75,11.5,2025-08-31 16:00:00,
2,Santos,Fluminense,dom.,16:00,2.35,3.25,3.0,2025-08-31 16:00:00,
3,Corinthians,Palmeiras,dom.,18:30,3.1,3.1,2.38,2025-08-31 18:30:00,
4,Mirassol,Bahia,dom.,18:30,2.16,3.35,3.3,2025-08-31 18:30:00,
5,Vitória,Atlético-MG,dom.,18:30,2.85,3.05,2.6,2025-08-31 18:30:00,
6,Internacional,Fortaleza,dom.,20:30,1.61,3.9,5.3,2025-08-31 20:30:00,
7,Sport,Vasco,dom.,20:30,2.4,3.25,2.9,2025-08-31 20:30:00,
8,Fortaleza,Vitória,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
9,Grêmio,Mirassol,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
10,Palmeiras,Internacional,13 de set.,18:30,1.58,3.65,6.0,2025-09-13 18:30:00,
11,Fluminense,Corinthians,13 de set.,21:00,2.05,3.25,3.6,2025-09-13 21:00:00,
12,Bragantino,Sport,14 de set.,11:00,1.67,3.5,5.4,2025-09-14 11:00:00,
13,Atlético-MG,Santos,14 de set.,16:00,1.68,3.7,4.7,2025-09-14 16:00:00,
14,Juventude,Flamengo,14 de set.,16:00,6.0,3.9,1.54,2025-09-14 16:00:00,
15,São Paulo,Botafogo,14 de set.,17:30,2.43,3.15,2.88,2025-09-14 17:30:00,
16,Vasco,Ceará,14 de set.,20:30,2.2,3.1,3.4,2025-09-14 20:30:00,
17,Ceará,Juventude,sáb.,16:00,1.56,3.9,6.0,2025-08-30 16:00:00,
18,Botafogo,Bragantino,sáb.,18:30,1.56,3.9,6.0,2025-08-30 18:30:00,
19,Cruzeiro,São Paulo,sáb.,21:00,1.84,3.4,4.4,2025-08-30 21:00:00,
20,Flamengo,Grêmio,dom.,16:00,1.24,5.75,12.0,2025-08-31 16:00:00,
21,Santos,Fluminense,dom.,16:00,2.32,3.25,3.05,2025-08-31 16:00:00,
22,Corinthians,Palmeiras,dom.,18:30,3.0,3.15,2.4,2025-08-31 18:30:00,
23,Mirassol,Bahia,dom.,18:30,2.33,3.35,2.95,2025-08-31 18:30:00,
24,Vitória,Atlético-MG,dom.,18:30,2.75,3.1,2.63,2025-08-31 18:30:00,
25,Internacional,Fortaleza,dom.,20:30,1.61,3.95,5.2,2025-08-31 20:30:00,
26,Sport,Vasco,dom.,20:30,2.43,3.2,2.9,2025-08-31 20:30:00,
27,Fortaleza,Vitória,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
28,Grêmio,Mirassol,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
29,Palmeiras,Internacional,13 de set.,18:30,1.58,3.65,6.0,2025-09-13 18:30:00,
30,Fluminense,Corinthians,13 de set.,21:00,2.05,3.25,3.6,2025-09-13 21:00:00,
31,Bragantino,Sport,14 de set.,11:00,1.67,3.5,5.4,2025-09-14 11:00:00,
32,Atlético-MG,Santos,14 de set.,16:00,1.68,3.7,4.7,2025-09-14 16:00:00,
33,Juventude,Flamengo,14 de set.,16:00,6.0,3.9,1.54,2025-09-14 16:00:00,
34,São Paulo,Botafogo,14 de set.,17:30,2.43,3.15,2.88,2025-09-14 17:30:00,
35,Vasco,Ceará,14 de set.,20:30,2.2,3.1,3.4,2025-09-14 20:30:00,
36,Fortaleza,Sport,sáb.,16:00,1.79,3.55,4.4,2025-09-27 16:00:00,373.0
37,Juventude,Internacional,sáb.,18:30,3.8,3.3,2.02,2025-09-27 18:30:00,336.0
38,Vasco,Cruzeiro,sáb.,18:30,3.05,3.3,2.3,2025-09-27 18:30:00,395.0
39,Atlético-MG,Mirassol,sáb.,21:00,2.23,3.25,3.25,2025-09-27 21:00:00,468.0
40,Grêmio,Vitória,dom.,11:00,1.75,3.5,4.8,2025-09-28 11:00:00,409.0
41,Bahia,Palmeiras,dom.,16:00,3.45,3.35,2.1,2025-09-28 16:00:00,411.0
42,Fluminense,Botafogo,dom.,16:00,2.38,3.15,3.05,2025-09-28 16:00:00,425.0
43,Bragantino,Santos,dom.,18:30,2.25,3.25,3.2,2025-09-28 18:30:00,435.0
44,Corinthians,Flamengo,dom.,20:30,4.5,3.35,1.84,2025-09-28 20:30:00,404.0
45,São Paulo,Ceará,seg.,20:00,1.57,3.7,6.4,2025-09-29 20:00:00,421.0
46,Atlético-MG,Juventude,ter.,21:30,1.4,4.5,7.5,2025-09-30 21:30:00,327.0
47,Mirassol,Bragantino,qua.,19:00,2.05,3.4,3.55,2025-10-01 19:00:00,284.0
48,Palmeiras,Vasco,qua.,19:00,1.33,4.8,9.5,2025-10-01 19:00:00,316.0
49,Sport,Fluminense,qua.,19:00,2.9,3.1,2.55,2025-10-01 19:00:00,283.0
50,Internacional,Corinthians,qua.,19:30,2.1,3.3,3.5,2025-10-01 19:30:00,266.0
51,Botafogo,Bahia,qua.,21:30,1.94,3.35,4.0,2025-10-01 21:30:00,279.0
52,Santos,Grêmio,qua.,21:30,2.05,3.25,3.75,2025-10-01 21:30:00,270.0
53,Vitória,Ceará,qui.,19:00,2.32,3.15,3.2,2025-10-02 19:00:00,284.0
54,Fortaleza,São Paulo,qui.,19:30,2.7,3.25,2.63,2025-10-02 19:30:00,291.0
55,Flamengo,Cruzeiro,qui.,20:30,1.68,3.65,5.2,2025-10-02 20:30:00,305.0
56,Vitória,Ceará,qui.,19:00,2.3,3.1,3.25,2025-10-02 19:00:00,416.0
57,Fortaleza,São Paulo,qui.,19:30,2.7,3.2,2.6,2025-10-02 19:30:00,405.0
58,Flamengo,Cruzeiro,qui.,20:30,1.6,3.8,5.8,2025-10-02 20:30:00,435.0
59,Bragantino,Grêmio,sáb.,18:30,2.14,3.35,3.35,2025-10-04 18:30:00,275.0
60,Fluminense,Atlético-MG,sáb.,18:30,1.93,3.3,4.1,2025-10-04 18:30:00,324.0
61,Internacional,Botafogo,sáb.,18:30,2.55,3.2,2.75,2025-10-04 18:30:00,289.0
62,Corinthians,Mirassol,sáb.,21:00,2.12,3.25,3.55,2025-10-04 21:00:00,268.0
63,São Paulo,Palmeiras,dom.,16:00,3.0,3.1,2.45,2025-10-05 16:00:00,304.0
64,Vasco,Vitória,dom.,16:00,1.66,3.75,5.1,2025-10-05 16:00:00,290.0
65,Bahia,Flamengo,dom.,18:30,5.0,3.65,1.68,2025-10-05 18:30:00,305.0
66,Juventude,Fortaleza,dom.,18:30,2.33,3.2,3.1,2025-10-05 18:30:00,272.0
67,Ceará,Santos,dom.,20:30,2.23,3.1,3.4,2025-10-05 20:30:00,271.0
68,Cruzeiro,Sport,dom.,20:30,1.32,5.1,9.5,2025-10-05 20:30:00,294.0
69,Atlético-MG,Sport,qua.,19:00,1.64,3.6,5.75,2025-10-08 19:00:00,350.0
70,Mirassol,Fluminense,qua.,21:00,2.25,3.2,3.25,2025-10-08 21:00:00,318.0
71,Palmeiras,Juventude,sáb.,19:00,1.17,6.75,17.0,2025-10-11 19:00:00,349.0
72,Palmeiras,Bragantino,15 de out.,19:00,1.41,4.5,7.5,2025-10-15 19:00:00,353.0
73,Botafogo,Flamengo,15 de out.,19:30,3.6,3.3,2.08,2025-10-15 19:30:00,326.0
74,Mirassol,Internacional,15 de out.,20:00,2.12,3.3,3.45,2025-10-15 20:00:00,303.0
75,Sport,Ceará,15 de out.,20:00,2.32,3.2,3.15,2025-10-15 20:00:00,324.0
76,Atlético-MG,Cruzeiro,15 de out.,21:30,2.75,3.05,2.7,2025-10-15 21:30:00,337.0
77,Fortaleza,Vasco,15 de out.,21:30,2.33,3.1,3.2,2025-10-15 21:30:00,306.0
78,Santos,Corinthians,15 de out.,21:30,2.2,3.1,3.5,2025-10-15 21:30:00,291.0
79,Grêmio,São Paulo,16 de out.,19:00,2.35,3.2,3.05,2025-10-16 19:00:00,298.0
80,Fluminense,Juventude,16 de out.,21:30,1.45,4.2,7.5,2025-10-16 21:30:00,363.0
81,Vitória,Bahia,16 de out.,21:30,2.9,3.15,2.48,2025-10-16 21:30:00,336.0
82,Fortaleza,Vitória,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
83,Grêmio,Mirassol,13 de set.,16:00,2.2,3.15,3.35,2025-09-13 16:00:00,
84,Palmeiras,Internacional,13 de set.,18:30,1.58,3.65,6.0,2025-09-13 18:30:00,
85,Fluminense,Corinthians,13 de set.,21:00,2.05,3.25,3.6,2025-09-13 21:00:00,
86,Bragantino,Sport,14 de set.,11:00,1.73,3.45,4.9,2025-09-14 11:00:00,
87,Atlético-MG,Santos,14 de set.,16:00,1.68,3.7,4.7,2025-09-14 16:00:00,
88,Juventude,Flamengo,14 de set.,16:00,6.0,3.9,1.54,2025-09-14 16:00:00,
89,São Paulo,Botafogo,14 de set.,17:30,2.43,3.15,2.88,2025-09-14 17:30:00,
90,Vasco,Ceará,14 de set.,20:30,2.2,3.1,3.4,2025-09-14 20:30:00,
91,Bragantino,Grêmio,sáb.,18:30,2.1,3.5,3.3,2025-10-04 18:30:00,345.0
92,Fluminense,Atlético-MG,sáb.,18:30,1.9,3.35,4.25,2025-10-04 18:30:00,421.0
93,Internacional,Botafogo,sáb.,18:30,2.45,3.2,2.88,2025-10-04 18:30:00,360.0
94,Corinthians,Mirassol,sáb.,21:00,2.02,3.3,3.8,2025-10-04 21:00:00,267.0
95,São Paulo,Palmeiras,dom.,16:00,3.15,3.1,2.35,2025-10-05 16:00:00,303.0
96,Vasco,Vitória,dom.,16:00,1.66,3.75,5.1,2025-10-05 16:00:00,293.0
97,Bahia,Flamengo,dom.,18:30,5.1,3.75,1.67,2025-10-05 18:30:00,295.0
98,Juventude,Fortaleza,dom.,18:30,2.55,3.2,2.8,2025-10-05 18:30:00,272.0
99,Ceará,Santos,dom.,20:30,2.25,3.1,3.4,2025-10-05 20:30:00,269.0
100,Cruzeiro,Sport,dom.,20:30,1.37,4.75,8.0,2025-10-05 20:30:00,278.0
101,Bragantino,Corinthians,qua.,19:00,2.45,3.15,2.95,2025-11-05 19:00:00,434.0
102,Sport,Juventude,qua.,19:00,1.73,3.65,4.7,2025-11-05 19:00:00,416.0
103,Vitória,Internacional,qua.,19:00,2.38,3.25,3.0,2025-11-05 19:00:00,376.0
104,Botafogo,Vasco,qua.,19:30,1.84,3.6,4.1,2025-11-05 19:30:00,392.0
105,Atlético-MG,Bahia,qua.,20:00,2.15,3.3,3.35,2025-11-05 20:00:00,450.0
106,Grêmio,Cruzeiro,qua.,20:00,3.1,3.25,2.3,2025-11-05 20:00:00,389.0
107,São Paulo,Flamengo,qua.,21:30,4.1,3.25,1.97,2025-11-05 21:30:00,359.0
108,Fluminense,Mirassol,qui.,19:30,1.85,3.35,4.5,2025-11-06 19:30:00,338.0
109,Ceará,Fortaleza,qui.,20:00,2.28,3.2,3.2,2025-11-06 20:00:00,306.0
110,Palmeiras,Santos,qui.,21:30,1.38,4.5,8.5,2025-11-06 21:30:00,351.0
111,Sport,Atlético-MG,sáb.,16:00,2.8,3.15,2.6,2025-11-08 16:00:00,364.0
112,Vasco,Juventude,sáb.,18:00,1.38,4.6,8.0,2025-11-08 18:00:00,357.0
113,Internacional,Bahia,sáb.,18:30,2.18,3.25,3.35,2025-11-08 18:30:00,326.0
114,São Paulo,Bragantino,sáb.,21:00,1.72,3.4,5.25,2025-11-08 21:00:00,339.0
115,Corinthians,Ceará,dom.,16:00,1.66,3.45,5.75,2025-11-09 16:00:00,342.0
116,Cruzeiro,Fluminense,dom.,16:00,1.89,3.25,4.4,2025-11-09 16:00:00,324.0
117,Vitória,Botafogo,dom.,16:00,3.1,3.2,2.33,2025-11-09 16:00:00,314.0
118,Flamengo,Santos,dom.,18:30,1.32,5.0,10.0,2025-11-09 18:30:00,329.0
119,Fortaleza,Grêmio,dom.,20:30,2.08,3.2,3.65,2025-11-09 20:30:00,341.0
120,Mirassol,Palmeiras,dom.,20:30,3.55,3.2,2.14,2025-11-09 20:30:00,343.0
121,Atlético-MG,Ceará,sáb.,16:00,1.8,3.35,4.75,2025-10-25 16:00:00,481.0
122,Vitória,Corinthians,sáb.,16:00,2.55,3.05,2.88,2025-10-25 16:00:00,453.0
123,Fluminense,Internacional,sáb.,17:30,1.77,3.5,4.7,2025-10-25 17:30:00,450.0
124,Sport,Mirassol,sáb.,18:30,2.8,3.35,2.48,2025-10-25 18:30:00,444.0
125,Fortaleza,Flamengo,sáb.,19:30,5.3,3.8,1.63,2025-10-25 19:30:00,403.0
126,São Paulo,Bahia,sáb.,21:30,1.91,3.35,4.1,2025-10-25 21:30:00,441.0
127,Botafogo,Santos,dom.,16:00,1.73,3.7,4.6,2025-10-26 16:00:00,438.0
128,Grêmio,Juventude,dom.,16:00,1.67,3.6,5.3,2025-10-26 16:00:00,459.0
129,Bragantino,Vasco,dom.,18:30,2.1,3.65,3.2,2025-10-26 18:30:00,454.0
130,Palmeiras,Cruzeiro,dom.,20:30,1.8,3.55,4.4,2025-10-26 20:30:00,473.0
131,Fluminense,Ceará,qua.,19:00,1.68,3.5,5.6,2025-10-29 19:00:00,342.0
132,Cruzeiro,Vitória,1 de nov.,16:00,1.44,4.2,7.5,2025-11-01 16:00:00,319.0
133,Santos,Fortaleza,1 de nov.,16:00,1.78,3.6,4.5,2025-11-01 16:00:00,308.0
134,Mirassol,Botafogo,1 de nov.,18:00,2.25,3.15,3.35,2025-11-01 18:00:00,305.0
135,Flamengo,Sport,1 de nov.,21:00,1.17,6.75,18.0,2025-11-01 21:00:00,325.0
136,Bahia,Bragantino,2 de nov.,16:00,1.7,3.75,4.8,2025-11-02 16:00:00,326.0
137,Ceará,Fluminense,2 de nov.,16:00,2.65,3.05,2.8,2025-11-02 16:00:00,347.0
138,Corinthians,Grêmio,2 de nov.,16:00,1.85,3.25,4.6,2025-11-02 16:00:00,330.0
139,Internacional,Atlético-MG,2 de nov.,18:30,1.91,3.3,4.25,2025-11-02 18:30:00,322.0
140,Juventude,Palmeiras,2 de nov.,18:30,8.0,4.5,1.4,2025-11-02 18:30:00,360.0
141,Vasco,São Paulo,2 de nov.,20:30,2.15,3.25,3.4,2025-11-02 20:30:00,322.0
142,Atlético-MG,Ceará,sáb.,16:00,1.91,3.2,4.35,2025-10-25 16:00:00,428.0
143,Vitória,Corinthians,sáb.,16:00,2.8,3.15,2.55,2025-10-25 16:00:00,413.0
144,Fluminense,Internacional,sáb.,17:30,1.92,3.45,3.95,2025-10-25 17:30:00,427.0
145,Sport,Mirassol,sáb.,18:30,2.75,3.25,2.5,2025-10-25 18:30:00,394.0
146,Fortaleza,Flamengo,sáb.,19:30,5.2,3.65,1.67,2025-10-25 19:30:00,372.0
147,São Paulo,Bahia,sáb.,21:30,1.88,3.45,4.1,2025-10-25 21:30:00,414.0
148,Botafogo,Santos,dom.,16:00,1.74,3.7,4.6,2025-10-26 16:00:00,309.0
149,Grêmio,Juventude,dom.,16:00,1.6,3.8,5.6,2025-10-26 16:00:00,346.0
150,Bragantino,Vasco,dom.,18:30,2.28,3.55,2.9,2025-10-26 18:30:00,330.0
151,Palmeiras,Cruzeiro,dom.,20:30,1.8,3.6,4.3,2025-10-26 20:30:00,345.0
152,Fluminense,Ceará,qua.,19:00,1.6,3.6,6.25,2025-10-29 19:00:00,343.0
153,Cruzeiro,Vitória,1 de nov.,16:00,1.47,4.0,7.5,2025-11-01 16:00:00,319.0
154,Santos,Fortaleza,1 de nov.,16:00,1.78,3.6,4.5,2025-11-01 16:00:00,308.0
155,Mirassol,Botafogo,1 de nov.,18:00,2.25,3.15,3.3,2025-11-01 18:00:00,307.0
156,Flamengo,Sport,1 de nov.,21:00,1.17,6.5,17.0,2025-11-01 21:00:00,336.0
157,Bahia,Bragantino,2 de nov.,16:00,1.71,3.75,4.8,2025-11-02 16:00:00,332.0
158,Ceará,Fluminense,2 de nov.,16:00,2.7,3.05,2.75,2025-11-02 16:00:00,346.0
159,Corinthians,Grêmio,2 de nov.,16:00,1.84,3.25,4.7,2025-11-02 16:00:00,333.0
160,Internacional,Atlético-MG,2 de nov.,18:30,1.91,3.25,4.3,2025-11-02 18:30:00,320.0
161,Juventude,Palmeiras,2 de nov.,18:30,8.0,4.5,1.4,2025-11-02 18:30:00,360.0
162,Vasco,São Paulo,2 de nov.,20:30,2.15,3.25,3.4,2025-11-02 20:30:00,322.0
163,Fortaleza,Vitória,sáb.,16:00,1.85,3.45,4.3,2025-09-13 16:00:00,353.0
164,Grêmio,Mirassol,sáb.,16:00,2.23,3.25,3.25,2025-09-13 16:00:00,321.0
165,Palmeiras,Internacional,sáb.,18:30,1.6,3.7,6.0,2025-09-13 18:30:00,316.0
166,Fluminense,Corinthians,sáb.,21:00,2.04,3.05,4.1,2025-09-13 21:00:00,291.0
167,Bragantino,Sport,dom.,11:00,1.89,3.4,4.2,2025-09-14 11:00:00,255.0
168,Atlético-MG,Santos,dom.,16:00,1.84,3.45,4.25,2025-09-14 16:00:00,311.0
169,Juventude,Flamengo,dom.,16:00,8.0,4.35,1.41,2025-09-14 16:00:00,283.0
170,São Paulo,Botafogo,dom.,17:30,2.18,3.0,3.65,2025-09-14 17:30:00,248.0
171,Vasco,Ceará,dom.,20:30,1.84,3.35,4.5,2025-09-14 20:30:00,290.0
172,Bahia,Cruzeiro,seg.,20:00,2.3,3.05,3.3,2025-09-15 20:00:00,282.0
173,Botafogo,Mirassol,qua.,19:30,1.62,3.8,5.5,2025-09-17 19:30:00,287.0
174,Vitória,Fluminense,20 de set.,16:00,2.5,3.1,2.95,2025-09-20 16:00:00,298.0
175,Botafogo,Atlético-MG,20 de set.,18:30,1.61,3.6,6.1,2025-09-20 18:30:00,315.0
176,Ceará,Bahia,20 de set.,18:30,2.75,3.1,2.65,2025-09-20 18:30:00,261.0
177,Palmeiras,Fortaleza,20 de set.,21:00,1.38,4.4,9.0,2025-09-20 21:00:00,275.0
178,Mirassol,Juventude,21 de set.,16:00,1.6,3.7,6.0,2025-09-21 16:00:00,269.0
179,Flamengo,Vasco,21 de set.,17:30,1.52,3.95,6.5,2025-09-21 17:30:00,277.0
180,Internacional,Grêmio,21 de set.,17:30,1.96,3.15,4.25,2025-09-21 17:30:00,263.0
181,Sport,Corinthians,21 de set.,17:30,2.8,3.05,2.65,2025-09-21 17:30:00,257.0
182,Cruzeiro,Bragantino,21 de set.,20:30,1.53,4.0,6.1,2025-09-21 20:30:00,298.0
183,Santos,São Paulo,21 de set.,20:30,2.5,2.95,3.05,2025-09-21 20:30:00,274.0
184,Grêmio,Botafogo,qua.,19:30,3.0,3.2,2.4,2025-09-24 19:30:00,250.0
185,Vasco,Bahia,qua.,19:30,2.23,3.45,3.1,2025-09-24 19:30:00,281.0
186,Fortaleza,Sport,sáb.,16:00,1.72,3.6,4.9,2025-09-27 16:00:00,258.0
187,Juventude,Internacional,sáb.,18:30,3.7,3.3,2.06,2025-09-27 18:30:00,243.0
188,Vasco,Cruzeiro,sáb.,18:30,2.85,3.2,2.48,2025-09-27 18:30:00,274.0
189,Atlético-MG,Mirassol,sáb.,21:00,2.25,3.25,3.2,2025-09-27 21:00:00,307.0
190,Grêmio,Vitória,28 de set.,11:00,1.65,3.6,5.5,2025-09-28 11:00:00,271.0
191,Bahia,Palmeiras,28 de set.,16:00,2.7,3.2,2.63,2025-09-28 16:00:00,277.0
192,Fluminense,Botafogo,28 de set.,16:00,2.35,3.2,3.05,2025-09-28 16:00:00,300.0
193,Bragantino,Santos,28 de set.,18:30,2.15,3.35,3.35,2025-09-28 18:30:00,291.0
194,Corinthians,Flamengo,28 de set.,20:30,4.2,3.35,1.89,2025-09-28 20:30:00,269.0
195,São Paulo,Ceará,29 de set.,20:00,1.57,3.7,6.4,2025-09-29 20:00:00,292.0
196,Atlético-MG,Juventude,30 de set.,21:30,1.41,4.4,7.5,2025-09-30 21:30:00,325.0
197,Mirassol,Bragantino,1 de out.,19:00,2.06,3.4,3.55,2025-10-01 19:00:00,282.0
198,Palmeiras,Vasco,1 de out.,19:00,1.33,4.9,9.5,2025-10-01 19:00:00,317.0
199,Sport,Fluminense,1 de out.,19:00,2.9,3.05,2.55,2025-10-01 19:00:00,283.0
200,Internacional,Corinthians,1 de out.,19:30,2.12,3.25,3.55,2025-10-01 19:30:00,266.0
201,Botafogo,Bahia,1 de out.,21:30,1.94,3.35,4.0,2025-10-01 21:30:00,148.0
202,Santos,Grêmio,1 de out.,21:30,2.15,3.2,3.5,2025-10-01 21:30:00,277.0
203,Vitória,Ceará,2 de out.,19:00,2.32,3.15,3.2,2025-10-02 19:00:00,284.0
204,Fortaleza,São Paulo,2 de out.,19:30,2.65,3.25,2.63,2025-10-02 19:30:00,291.0
205,Flamengo,Cruzeiro,2 de out.,20:30,1.66,3.7,5.1,2025-10-02 20:30:00,303.0
206,Fortaleza,Sport,sáb.,16:00,1.72,3.65,4.8,2025-09-27 16:00:00,321.0
207,Juventude,Internacional,sáb.,18:30,3.75,3.35,2.0,2025-09-27 18:30:00,292.0
208,Vasco,Cruzeiro,sáb.,18:30,2.88,3.35,2.4,2025-09-27 18:30:00,343.0
209,Atlético-MG,Mirassol,sáb.,21:00,2.23,3.25,3.2,2025-09-27 21:00:00,398.0
210,Grêmio,Vitória,dom.,11:00,1.67,3.7,5.1,2025-09-28 11:00:00,275.0
211,Bahia,Palmeiras,dom.,16:00,3.5,3.35,2.08,2025-09-28 16:00:00,279.0
212,Fluminense,Botafogo,dom.,16:00,2.38,3.2,3.05,2025-09-28 16:00:00,293.0
213,Bragantino,Santos,dom.,18:30,2.28,3.2,3.2,2025-09-28 18:30:00,293.0
214,Corinthians,Flamengo,dom.,20:30,4.35,3.25,1.89,2025-09-28 20:30:00,282.0
215,São Paulo,Ceará,seg.,20:00,1.57,3.7,6.4,2025-09-29 20:00:00,295.0
216,Atlético-MG,Juventude,ter.,21:30,1.41,4.4,7.5,2025-09-30 21:30:00,325.0
217,Mirassol,Bragantino,qua.,19:00,2.05,3.4,3.55,2025-10-01 19:00:00,284.0
218,Palmeiras,Vasco,qua.,19:00,1.33,4.9,9.5,2025-10-01 19:00:00,317.0
219,Sport,Fluminense,qua.,19:00,2.9,3.1,2.55,2025-10-01 19:00:00,283.0
220,Internacional,Corinthians,qua.,19:30,2.12,3.25,3.55,2025-10-01 19:30:00,266.0
221,Botafogo,Bahia,qua.,21:30,1.94,3.35,4.0,2025-10-01 21:30:00,279.0
222,Santos,Grêmio,qua.,21:30,2.05,3.25,3.75,2025-10-01 21:30:00,275.0
223,Vitória,Ceará,2 de out.,19:00,2.32,3.15,3.2,2025-10-02 19:00:00,284.0
224,Fortaleza,São Paulo,2 de out.,19:30,2.65,3.25,2.63,2025-10-02 19:30:00,291.0
225,Flamengo,Cruzeiro,2 de out.,20:30,1.66,3.7,5.1,2025-10-02 20:30:00,303.0
226,Sport,Atlético-MG,sáb.,16:00,3.55,3.2,2.14,2025-11-08 16:00:00,448.0
227,Vasco,Juventude,sáb.,18:00,1.4,4.5,8.0,2025-11-08 18:00:00,443.0
228,Internacional,Bahia,sáb.,18:30,2.23,3.2,3.3,2025-11-08 18:30:00,388.0
229,São Paulo,Bragantino,sáb.,21:00,1.68,3.45,5.6,2025-11-08 21:00:00,416.0
230,Corinthians,Ceará,dom.,16:00,1.68,3.45,5.75,2025-11-09 16:00:00,339.0
231,Cruzeiro,Fluminense,dom.,16:00,1.91,3.25,4.3,2025-11-09 16:00:00,322.0
232,Vitória,Botafogo,dom.,16:00,3.1,3.15,2.33,2025-11-09 16:00:00,308.0
233,Flamengo,Santos,dom.,18:30,1.29,5.3,10.0,2025-11-09 18:30:00,329.0
234,Fortaleza,Grêmio,dom.,20:30,1.97,3.25,4.0,2025-11-09 20:30:00,335.0
235,Mirassol,Palmeiras,dom.,20:30,3.95,3.25,1.98,2025-11-09 20:30:00,344.0
236,Atlético-MG,Juventude,ter.,21:30,1.56,3.8,6.25,2025-09-30 21:30:00,410.0
237,Mirassol,Bragantino,qua.,19:00,1.87,3.45,4.1,2025-10-01 19:00:00,376.0
238,Palmeiras,Vasco,qua.,19:00,1.33,4.8,9.5,2025-10-01 19:00:00,445.0
239,Sport,Fluminense,qua.,19:00,2.95,3.05,2.5,2025-10-01 19:00:00,389.0
240,Internacional,Corinthians,qua.,19:30,2.1,3.2,3.6,2025-10-01 19:30:00,370.0
241,Botafogo,Bahia,qua.,21:30,1.83,3.55,4.25,2025-10-01 21:30:00,368.0
